2014-12-05 12:01:28:0465, diag_detail_itemexited, id=564, type=1
2014-12-05 12:01:28:0949, diag_detail_itementered, id=3, type=0
2014-12-05 12:01:33:0722, diag_detail_itemexited, id=3, type=0
2014-12-05 12:01:34:0190, diag_detail_itementered, id=3, type=0
2014-12-05 12:01:34:0814, diag_detail_itemexited, id=3, type=0
2014-12-05 12:01:35:0064, diag_detail_itementered, id=0.08807470578732268, type=2
2014-12-05 12:01:35:0080, diag_detail_itemexited, id=0.08807470578732268, type=2
2014-12-05 12:01:35:0282, diag_detail_itementered, id=4, type=0
2014-12-05 12:01:35:0314, diag_detail_itemexited, id=4, type=0
2014-12-05 12:01:35:0485, diag_detail_itementered, id=4, type=0
2014-12-05 12:01:36:0281, diag_detail_itemexited, id=4, type=0
2014-12-05 12:01:36:0764, diag_detail_itementered, id=564, type=1
2014-12-05 12:02:07:0512, diag_detail_itemexited, id=564, type=1
2014-12-05 12:02:08:0012, diag_detail_itementered, id=31693, type=1
2014-12-05 12:02:24:0563, diag_detail_itemexited, id=31693, type=1
2014-12-05 12:02:28:0339, list_pattern_mouseentered, id=1, type=0
2014-12-05 12:02:28:0339, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0370, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0385, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0401, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0432, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0448, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0463, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0479, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0495, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0510, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0526, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0588, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0604, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0619, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0651, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0666, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:02:28:0682, list_pattern_mouseexited
2014-12-05 12:02:34:0079, search_update, junit
2014-12-05 12:03:20:0896, search_update, xml
2014-12-05 12:03:24:0296, list_mouseentered, id=40663, type=1
