datetime,ipaddress,userid,handle,cookieid,event,params
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=answers	sort=answers	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=views	sort=views	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=answers	sort=answers	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=votes	sort=votes	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=hot	sort=hot	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=views	sort=views	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions&sort=hot	sort=hot	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=stats	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=viewing	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:01,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:01,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:01,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:01,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:01,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66455&qa_1=there-easy-change-behavi...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66455&qa_1=there-easy-change-behavi...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=points	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=stats	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=stats	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=mailing	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=points	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=feeds	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=permissions	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=lists	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:02,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=viewing	path=/~ezegarra/microprobe4/index.php"
