2014-02-02 05:29:08:0303, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0322, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0341, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0360, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0379, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0399, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0418, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0437, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0456, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0475, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0495, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0514, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0533, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0552, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0571, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0590, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0609, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0629, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0650, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0670, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0692, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0711, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0731, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0752, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0772, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0792, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0813, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0833, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0855, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0876, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0898, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0921, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0947, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0969, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:08:0990, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0012, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0034, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0056, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0077, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0099, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0120, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0142, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0170, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0191, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0404, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0442, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0471, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0495, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0516, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0538, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0560, diag_itemdragged, id=56943, type=1
2014-02-02 05:29:09:0581, diag_itemdragged, id=56943, type=1
